pdf_id,pdf_nombre,revista,pais,macroarea,anio,titulo,A_ia,B_ia,C_ia,clase_textual_ia,veredicto_ia,motivo_ia,confianza_ia
1,00033_Praxis_Educativa_2025.pdf,Praxis Educativa,Argentina,Ciencias Agrarias y Ambientales,2025,Géneros textuales empleados en las universidades del Ecuador. ¿Qué se escribe en las aulas universitarias?,1,0,1,Falla fuerte,FF clasica,,
2,00057_RIA_Revista_Investigaciones_Ag_2022.pdf,RIA: Revista Investigaciones Agropecuarias,Argentina,Ciencias Agrarias y Ambientales,2022,Prospección del marchitamiento y cancro bacteriano del tomate en invernaderos del Cinturón Hortícola de La Plata,1,0,1,Falla fuerte,FF clasica,,
3,00066_Revista_Argentina_de_Antropolo_2021.pdf,Revista Argentina de Antropología Biológica,Argentina,Ciencias Agrarias y Ambientales,2021,"Distribución geográfica de la presión arterial elevada en relación al exceso ponderal en niños y niñas que viven en el cinturón productivo de La Plata (Buenos Aires, Argentina)",1,0,1,Falla fuerte,FF clasica,,
4,00068_Revista_Argentina_de_Antropolo_2020.pdf,Revista Argentina de Antropología Biológica,Argentina,Ciencias Agrarias y Ambientales,2020,"El periurbano productivo de la ciudad de La Plata (Buenos Aires, Argentina)",1,1,1,Debilidad importante,FF con reconocimiento,,
5,00069_Revista_Argentina_de_Antropolo_2019.pdf,Revista Argentina de Antropología Biológica,Argentina,Ciencias Agrarias y Ambientales,2019,Distancias maritales: Salta (Argentina),1,0,0,Debilidad importante,Debilidad importante,,
6,00092_Acta_Scientiarum_Animal_Scienc_2025.pdf,Acta Scientiarum: Animal Sciences,Brasil,Ciencias Agrarias y Ambientales,2025,Assessment of the effects of the BARF diet on the health of dogs,1,1,0,Debilidad importante,Debilidad importante,,
7,00093_Acta_Scientiarum_Animal_Scienc_2025.pdf,Acta Scientiarum: Animal Sciences,Brasil,Ciencias Agrarias y Ambientales,2025,Next generation sequencing and bio-informatics analysis for the investigation of the vaginal bacterial microflora of clinically healthy mares,1,0,1,Falla fuerte,FF clasica,,
8,00097_Acta_Scientiarum_Animal_Scienc_2023.pdf,Acta Scientiarum: Animal Sciences,Brasil,Ciencias Agrarias y Ambientales,2023,"Microbiological diagnosis and antimicrobial resistance profile of bovine mastitis causing agents in the municipality of Placas, Pará, Brazil",1,0,1,Falla fuerte,FF clasica,,
9,00101_Arquivo_Brasileiro_de_Medicina_2026.pdf,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,Brasil,Ciencias Agrarias y Ambientales,2026,Effects of selective serotonin and norepinephrine reuptake inhibitor (Venlafaxine) in urine marking behavior in castrated male cats,1,1,1,Debilidad importante,FF con reconocimiento,,
10,00102_Arquivo_Brasileiro_de_Medicina_2026.pdf,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,Brasil,Ciencias Agrarias y Ambientales,2026,Relationships between liver blood markers and milk parameters in cows,1,0,0,Debilidad importante,Debilidad importante,,
