pdf_id,A,B,C,D,notas,revisor
1,0,0,1,No evaluable,"Sin evidencia clara en fragmentos. | Sin evidencia. | ""empleados en las universidades del Ecuador""",notebooklm
2,1,0,1,FF clasica,"""muestreos en 60 invernaderos comerciales"" | Sin evidencia. | ""concluimos que la enfermedad está muy difundida en el CHP""",notebooklm
3,1,1,1,FF con reconocimiento,"""se relevó... 2.268 escolares... residentes en distintos centros"" | ""se reconoce que el presente trabajo tiene ciertas limitaciones"" | ""el cinturón productivo de La Plata, presenta una realidad preocupante""",notebooklm
4,1,0,1,FF clasica,"""seleccionados de manera no aleatoria a partir de un muestreo por conveniencia"" | Sin evidencia. | ""un espacio propicio para la malnutrición infanto-juvenil""",notebooklm
5,1,1,1,FF con reconocimiento,"""censos domiciliarios realizados en once localidades"" | ""vinculada a la poca cantidad de parejas residentes"" | ""las tres zonas geoestructurales analizadas""",notebooklm
6,1,1,1,FF con reconocimiento,"""online survey... completely anonymous and voluntary"" | ""small size of the research group... could have made it difficult"" | ""The diet should be based on expertise... and quarterly blood tests""",notebooklm
7,1,0,1,FF clasica,"""Samples were collected from 30 clinically healthy adult mares"" | Sin evidencia. | ""main elements of the vaginal microflora of the test population""",notebooklm
8,1,0,1,FF clasica,"""Ten properties were evaluated... previously selected"" | Sin evidencia. | ""agents causing mastitis in the region""",notebooklm
9,1,1,1,FF con reconocimiento,"""cats entered the study from three clinics in Tehran"" | ""may be related to the number of samples"" | ""treatment with venlafaxine... can reduce or solve the problem""",notebooklm
10,1,0,1,FF clasica,"""124 samples from Holstein cows belonging to nine intensive dairy farms"" | Sin evidencia. | ""results may be useful... when milk parameters are measured daily""",notebooklm
11,1,1,1,FF con reconocimiento,"""producer participation was voluntary following the explanatory presentation"" | ""Although not all swine farmers adhered to the study"" | ""first report on PH in technified herds in Southeastern Brazil""",notebooklm
12,1,1,1,FF con reconocimiento,"""secondary data present in the reports... refer to 319 samples"" | ""thus constituting a sampling bias"" | ""Salmonella spp. contamination of broiler carcasses slaughtered""",notebooklm
13,1,0,1,FF clasica,"""estudo retrospectivo... foram selecionados 15 casos"" | Sin evidencia | ""a presença de abscessos peri-hepáticos deve ser considerada""",notebooklm
14,1,1,1,FF con reconocimiento,"""Vinte e seis ovelhas... foram utilizadas neste estudo"" | ""estudos específicos em cada sistema de produção ovina para o controle"" | ""identificou padrões semelhantes de resistência antimicrobiana""",notebooklm
15,1,0,1,FF clasica,"""Um total de 201 animais... foram internados para atendimento"" | Sin evidencia | ""enfatizam a ocorrência de úlceras do abomaso do tipo 1""",notebooklm
16,1,0,1,FF clasica,"""Foram utilizados seis cordeiros por tratamento, totalizando 18 animais"" | Sin evidencia | ""não influenciaram o desempenho de cordeiros Dorper x Santa Inês""",notebooklm
17,1,0,1,FF clasica,"""amostras... obtidas de 88 equinos criados em 15 propriedades"" | Sin evidencia | ""sumamente importante establecer medidas de prevenção""",notebooklm
