pdf_id,archivo,titulo,notebook_A,notebook_B,notebook_C,notebook_D,codex_A,codex_B,codex_C,codex_D,codex_notas,gemini_A,gemini_B,gemini_C,gemini_D,gemini_notas,claude_A,claude_B,claude_C,claude_D,claude_notas,notebook_vs_codex_ABCD,notebook_vs_codex_D,notebook_vs_gemini_ABCD,notebook_vs_gemini_D,notebook_vs_claude_ABCD,notebook_vs_claude_D,D_consenso_4,D_mayoria
1,00033_Praxis_Educativa_2025.pdf,Géneros textuales empleados en las universidades del Ecuador. ¿Qué se escribe en las aulas universitarias?,0,0,1,No evaluable,0,0,0,No evaluable,No computar en concordancia hasta recuperar texto/PDF articulo completo.,1,0,1,FF clasica,Muestreo no probabilístico (varias universidades) y extrapolación implícita a universidades de Ecuador sin advertir limitaciones.,0,0,0,No evaluable,"Estudio descriptivo-pedagógico sobre géneros textuales. No hay evidencia de inferencia estadística formal ni problema muestral clásico. Investigación educativa cualitativo-cuantitativa, no auditoría d",difiere,igual,difiere,difiere,difiere,igual,3_de_4,No evaluable
2,00057_RIA_Revista_Investigaciones_Ag_2022.pdf,Prospección del marchitamiento y cancro bacteriano del tomate en invernaderos del Cinturón Hortícola de La Plata,1,0,1,FF clasica,1,0,1,FF clasica,Prospeccion no probabilistica con lectura regional.,1,0,1,FF clasica,Muestreo no probabilístico (conveniencia/intencional) en invernaderos del CHP. Extrapola prevalencia e incidencia a la población del CHP sin advertir limitaciones del muestreo.,1,0,1,FF clasica,"Muestreo no probabilístico de invernaderos (conveniencia 6-30/año sin protocolo de selección aleatorio), extrapolación explícita al CHP. No advierte sesgo de selección. Conclusiones generales sin reco",igual,igual,igual,igual,igual,igual,unanimidad,FF clasica
3,00066_Revista_Argentina_de_Antropolo_2021.pdf,"Distribución geográfica de la presión arterial elevada en relación al exceso ponderal en niños y niñas que viven en el cinturón productivo de La Plata (Buenos Aires, Argentina)",1,1,1,FF con reconocimiento,1,0,1,FF clasica,Inferencia sanitaria territorial desde muestra escolar sin marco probabilistico explicito.,1,0,1,FF clasica,Muestreo no probabilístico (conveniencia/consecutivo en escuelas) y se extrapolan los resultados a la población de escolares del cinturón productivo de La Plata sin advertir esta limitación.,1,0,1,FF clasica,Selección deliberada de 8 CC sin protocolo explícito de aleatorización. Extrapolación clara a 'cinturón productivo de La Plata' (conclusiones sobre prevalencias generales y 'realidad sanitaria') sin a,difiere,difiere,difiere,difiere,difiere,difiere,3_de_4,FF clasica
4,00068_Revista_Argentina_de_Antropolo_2020.pdf,"El periurbano productivo de la ciudad de La Plata (Buenos Aires, Argentina)",1,0,1,FF clasica,1,0,1,FF clasica,"Aunque es una base grande, no hay evidencia de diseno probabilistico.",1,0,1,FF clasica,Muestreo por conveniencia y extrapolación a la población de escolares del periurbano sin advertir explícitamente las limitaciones de generalización.,1,0,1,FF clasica,"Muestreo por conveniencia (escuelas autorizadas, 6 localidades) con extrapolación a periurbano y datos nacionales, sin reconocer limitación en generalización.",igual,igual,igual,igual,igual,igual,unanimidad,FF clasica
5,00069_Revista_Argentina_de_Antropolo_2019.pdf,Distancias maritales: Salta (Argentina),1,1,1,FF con reconocimiento,0,0,0,Sin falla relevante,Censo/registro local; no cae en falla de muestreo no probabilistico.,1,0,1,FF clasica,Muestreo no probabilístico de 11 localidades. Se extrapolan resultados a poblaciones más amplias en la discusión sin advertir explícitamente la limitación de la selección no probabilística.,0,0,0,No evaluable,"Utiliza datos censales completos ('totalidad de individuos residentes') en cada localidad, no muestreo. Aunque analiza 11 localidades, el problema de representatividad muestral no aplica a nivel indiv",difiere,difiere,difiere,difiere,difiere,difiere,sin_consenso,FF con reconocimiento
6,00092_Acta_Scientiarum_Animal_Scienc_2025.pdf,Assessment of the effects of the BARF diet on the health of dogs,1,1,1,FF con reconocimiento,1,1,0,Debilidad importante,"Muestreo voluntario, pero extrapolacion limitada y reconocida.",1,1,1,FF con reconocimiento,"Muestreo no probabilístico (voluntario online) y uso de inferencia estadística (t-test) para evaluar el impacto en la salud de perros, extrapolando implícitamente a la población, aunque se advierte so",1,1,1,FF con reconocimiento,Muestreo no probabilístico (encuesta voluntaria en redes sociales + 15 perros seleccionados por conveniencia). Extrapola hallazgos a población de perros BARF. Reconoce explícitamente: 'the small size ,difiere,difiere,igual,igual,igual,igual,3_de_4,FF con reconocimiento
7,00093_Acta_Scientiarum_Animal_Scienc_2025.pdf,Next generation sequencing and bio-informatics analysis for the investigation of the vaginal bacterial microflora of clinically healthy mares,1,0,1,FF clasica,1,1,0,Debilidad importante,IA parece convertir descripcion microbiologica en inferencia poblacional; no lo veo como A&C.,1,0,1,FF clasica,Muestreo no probabilístico (conveniencia de clubes hípicos) y se extrapolan conclusiones sobre la microflora vaginal de 'mares' y 'razas' a una población mayor sin advertir las limitaciones.,0,0,0,No evaluable,"Estudio descriptivo de microflora vaginal. Sin inferencia estadística formal. Carácter ecológico-microbiológico, no epidemiológico clásico. Conclusiones sobre muestra de 30 yeguas sin generalización p",difiere,difiere,igual,igual,difiere,difiere,2_de_4,FF clasica
8,00097_Acta_Scientiarum_Animal_Scienc_2023.pdf,"Microbiological diagnosis and antimicrobial resistance profile of bovine mastitis causing agents in the municipality of Placas, Pará, Brazil",1,0,1,FF clasica,1,0,1,FF clasica,Seleccion dirigida de propiedades con lectura regional.,1,0,1,FF clasica,Muestreo no probabilístico (conveniencia) y extrapolación de resultados a la región de Placas sin advertir explícitamente las limitaciones de generalización.,1,0,1,FF clasica,"Propiedades seleccionadas por conveniencia (contactos con industria lechera), conclusiones extrapoladas a 'la región' sin reconocer esta limitación metodológica.",igual,igual,igual,igual,igual,igual,unanimidad,FF clasica
9,00101_Arquivo_Brasileiro_de_Medicina_2026.pdf,Effects of selective serotonin and norepinephrine reuptake inhibitor (Venlafaxine) in urine marking behavior in castrated male cats,1,1,1,FF con reconocimiento,0,0,0,Sin falla relevante,No debe codificarse como falla de muestreo no probabilistico; es estudio experimental pequeno.,1,1,1,FF con reconocimiento,"Muestreo por conveniencia y extrapolación explícita a la población de gatos, a pesar de reconocer limitaciones de tamaño y género de la muestra.",1,0,1,FF clasica,Muestreo de conveniencia (20 gatos de 3 clínicas de Teherán). Extrapola a población general de gatos castrados con marcación urinaria sin advertir sesgo de selección ni limitaciones inherentes.,difiere,difiere,igual,igual,difiere,difiere,2_de_4,FF con reconocimiento
10,00102_Arquivo_Brasileiro_de_Medicina_2026.pdf,Relationships between liver blood markers and milk parameters in cows,1,0,1,FF clasica,1,0,1,FF clasica,Aqui discrepo de IA: hay inferencia relacional general sobre vacas desde seleccion no probabilistica.,1,0,1,FF clasica,Muestreo no probabilístico (selección intencional de 14 vacas por granja) y se extrapolan los resultados a 'intensive dairy farms' sin advertir la limitación.,1,0,1,FF clasica,Muestreo intencional de vacas Holstein clínicamente sanas en 9 granjas específicas. Extrapola relaciones a granjas intensivas sin reconocer limitaciones del diseño muestral no probabilístico.,igual,igual,igual,igual,igual,igual,unanimidad,FF clasica
