pdf_id,A,B,C,D,notas,revisor
1,0,0,0,No evaluable,"Estudio descriptivo-pedagógico sobre géneros textuales. No hay evidencia de inferencia estadística formal ni problema muestral clásico. Investigación educativa cualitativo-cuantitativa, no auditoría d",claude_haiku
2,1,0,1,FF clasica,"Muestreo no probabilístico de invernaderos (conveniencia 6-30/año sin protocolo de selección aleatorio), extrapolación explícita al CHP. No advierte sesgo de selección. Conclusiones generales sin reco",claude_haiku
3,1,0,1,FF clasica,Selección deliberada de 8 CC sin protocolo explícito de aleatorización. Extrapolación clara a 'cinturón productivo de La Plata' (conclusiones sobre prevalencias generales y 'realidad sanitaria') sin a,claude_haiku
4,1,0,1,FF clasica,"Muestreo por conveniencia (escuelas autorizadas, 6 localidades) con extrapolación a periurbano y datos nacionales, sin reconocer limitación en generalización.",claude_haiku
5,0,0,0,No evaluable,"Utiliza datos censales completos ('totalidad de individuos residentes') en cada localidad, no muestreo. Aunque analiza 11 localidades, el problema de representatividad muestral no aplica a nivel indiv",claude_haiku
6,1,1,1,FF con reconocimiento,Muestreo no probabilístico (encuesta voluntaria en redes sociales + 15 perros seleccionados por conveniencia). Extrapola hallazgos a población de perros BARF. Reconoce explícitamente: 'the small size ,claude_haiku
7,0,0,0,No evaluable,"Estudio descriptivo de microflora vaginal. Sin inferencia estadística formal. Carácter ecológico-microbiológico, no epidemiológico clásico. Conclusiones sobre muestra de 30 yeguas sin generalización p",claude_haiku
8,1,0,1,FF clasica,"Propiedades seleccionadas por conveniencia (contactos con industria lechera), conclusiones extrapoladas a 'la región' sin reconocer esta limitación metodológica.",claude_haiku
9,1,0,1,FF clasica,Muestreo de conveniencia (20 gatos de 3 clínicas de Teherán). Extrapola a población general de gatos castrados con marcación urinaria sin advertir sesgo de selección ni limitaciones inherentes.,claude_haiku
10,1,0,1,FF clasica,Muestreo intencional de vacas Holstein clínicamente sanas en 9 granjas específicas. Extrapola relaciones a granjas intensivas sin reconocer limitaciones del diseño muestral no probabilístico.,claude_haiku
11,1,0,1,FF clasica,"Granjas seleccionadas voluntariamente (20 de 41), con muestreo probabilístico de animales pero extrapolación a 'granjas tecnificadas de São Paulo' sin advertencia sobre sesgo de selección.",claude_haiku
12,1,1,1,FF con reconocimiento,"Muestreo con sesgos sistemáticos no aleatorios (43.6% muestras lunes, 62.6% primer turno). Advierte sesgo de implementación pero extrapola resultados a cadena regional.",claude_haiku
13,0,0,0,No evaluable,Serie clínica retrospectiva descriptiva. Usa explícitamente 'estatística descritiva' sin inferencia estadística formal. No hay población objetivo de referencia; objetivo es caracterizar hallazgos de 1,claude_haiku
14,1,0,1,FF clasica,"Muestra no probabilística (26 ovejas de biotério); generaliza a 'producción ovina' en título, objetivos y conclusiones sin advertir suficientemente limitaciones muestrales.",claude_haiku
15,0,0,0,No evaluable,Serie de casos retrospectiva de una institución. Sin proceso de muestreo descrito ni población objetivo definida. Análisis descriptivo de cohorte institucional.,claude_haiku
16,0,0,0,No evaluable,"Experimento agrícola controlado. Los 18 corderos son unidades experimentales asignadas a tratamientos (vedación silaje), no muestra de población objetivo. Sin pregunta muestral clásica.",claude_haiku
17,1,0,1,FF clasica,Muestreo no probabilístico (sin descripción de procedimiento de selección de 15 propiedades ni de 88 caballos) con extrapolación a región de Santarém-Pará; no advierte limitaciones muestrales explícit,claude_haiku
18,1,1,0,Debilidad importante,"Muestreo de conveniencia explícito (Portugal n=113, Rusia n=752). Autores advierten 'no generalizable' pero aplican tests inferenciales (Mann-Whitney U, factor analysis) que presuponen generalización.",claude_haiku
19,1,1,0,Debilidad importante,P1 (n=80) y P2 (n≈900) son muestras no-probabilísticas de estudiantes universitarios de una institución privada. No extrapolan explícitamente a población brasileña; usan datos como evidencia interpret,claude_haiku
20,0,0,0,No evaluable,"Estudio evaluativo local. Aunque incluye muestra de usuarios (n=109), el objetivo es evaluar 3 diseños específicos en UNA institución con análisis puramente descriptivo (porcentajes). Sin inferencia e",claude_haiku
21,1,1,1,FF con reconocimiento,"Muestreo por conveniencia (redes de contacto, redes sociales, emails). Reconoce sesgo hacia perfil de autores pero generaliza a Brasil. Extrapola conclusiones a nivel nacional sin limitar inferencias.",claude_haiku
22,1,0,1,Debilidad importante,"Muestreo intencional de 15 casos sin inferencia estadística formal. Análisis exclusivamente descriptivo; sin pruebas, IC ni extrapolación paramétrica a población mayor de agroextractivistas.",claude_haiku
23,0,0,0,No evaluable,"Estudio cualitativo-descriptivo sin inferencia estadística. Usa muestreo intencional (técnica estándar en investigación cualitativa), análisis temático y estadística descriptiva (frecuencias, conteos)",claude_haiku
24,1,0,0,Debilidad importante,"Muestreo de voluntarios (14/64 productores que expresaron interés) sin advertencia explícita de sesgo de selección. Alcance limitado a Bastos mitiga extrapolación, pero no elimina problema muestral.",claude_haiku
25,0,0,0,No evaluable,"Estudio comparativo de 2 granjas seleccionadas por conveniencia. Problema metodológico (validación de tecnología), no epidemiológico-poblacional con población objetivo clara.",claude_haiku
26,1,0,1,FF clasica,Muestra de conveniencia (hospital) presentada como 'survey' de la región semiárida. Extrapolación a 'poblaciones caninas urbanas' y 'diferentes áreas geográficas de Brasil' sin advertencia clara de li,claude_haiku
27,0,0,0,No evaluable,"Estudio traslacional con muestras clínicas de laboratorio (leche de vacas). Conclusión principal biológica (patrones de resistencia bacteriana in vitro), no epidemiológica de población animal.",claude_haiku
28,0,0,1,Sin falla relevante,Muestreo probabilístico estratificado con n calculado según fórmula estándar. Extrapolación de ratios animal:habitante al municipio sin pretender generalizar a contextos diferentes. No cumple A&C junt,claude_haiku
29,1,0,1,FF clasica,"Encuesta a 11 productores por difusión digital y contacto telefónico (conveniencia, no aleatorio). Extrapola explícitamente hallazgos a toda la ranicultura en Rio de Janeiro sin advertir sobre sesgos ",claude_haiku
30,1,0,1,FF clasica,Animales obtenidos de una granja específica en Ankara (muestreo de conveniencia). Generalizan sobre razas CAM y Malya sin advertir limitaciones geográficas/contextuales. Frases como 'Merino genotype h,claude_haiku
31,1,0,1,FF clasica,"Muestra de respuesta voluntaria (31.4%, n=59/194). Los autores generalizan al 'sistema de producción Bísaro' sin reconocer riesgo de sesgo de no-respuesta. Justifican correo vs. web pero no discuten r",claude_haiku
32,1,1,1,FF con reconocimiento,No-probabilístico (concursos únicamente). Reconocen limitaciones pero extrapolan a futuras generaciones sin datos. Conclusión sobre método de selección no fundamentada en datos de descendencia.,claude_haiku
33,0,0,0,No evaluable,"Diseño experimental comparativo, no muestreo inferencial. Intervenciones estandarizadas (novel object/arena tests) comparan razas y sexos. Objetivo es comparación de grupos bajo condiciones controlada",claude_haiku
34,0,0,0,No evaluable,Experimento agrícola/veterinario con asignación aleatoria de tratamientos en granja comercial. No es estudio de muestreo inferencial poblacional sino prueba de eficacia de intervención dietética.,claude_haiku
35,1,0,1,FF clasica,"Muestreo no probabilístico (autoselección, 13.2% tasa respuesta de ~730 personas), pero extracta conclusiones a 'entornos educativos' y 'políticas institucionales' sin advertir limitaciones inferencia",claude_haiku
36,0,0,0,No evaluable,Estudio exploratorio-descriptivo con n=10 docentes de conveniencia. No utiliza inferencia estadística formal (solo porcentajes descriptivos). Sin pregunta muestral clásica ni metodología de muestreo p,claude_haiku
37,1,1,0,Debilidad importante,"Muestreo no probabilístico intencionado (A=Si), pero sin extrapolación explícita a población mayor (C=No). Conclusiones acotadas a una universidad. Reconocen limitaciones.",claude_haiku
38,1,1,0,Debilidad importante,"Muestreo no probabilístico intencional (submuestra teórica por facultad), pero conclusiones acotadas explícitamente a Universidad Arturo Prat sin extrapolación a población docente mayor.",claude_haiku
39,1,0,1,Debilidad importante,"Muestreo de una única granja experimental sin probabilismo (n=171 vacas, 1996-2011). Busca contribuir al conocimiento sobre ganado lechero subtropical mexicano, pero extrapolación implícita sin advert",claude_haiku
40,1,0,1,FF clasica,"Datos de 2198 bovinos de matadero (muestreo consecutivo/conveniencia) analizados con inferencia estadística (IC, chi-cuadrado). Concluyen explícitamente sobre 'prevalencia en bovinos de la provincia d",claude_haiku
41,0,0,1,Debilidad importante,"Muestreo probabilístico (método proporciones, IC90%, error 10%) pero vago en especificación; inconsistencia: menciona 113 UPAs pero reporta 126 encuestadas; extrapolación a 2235 UPAs sin discutir limi",claude_haiku
42,0,0,0,No evaluable,"Estudio de caso cualitativo-cuantitativo. Colinas del Norte se selecciona explícitamente como 'caso de estudio típico', no como muestra probabilística. No hay pretensión de inferencia estadística clás",claude_haiku
43,1,1,1,FF con reconocimiento,"Usa denuncias (muestra conveniencia) para generalizar a mujeres de Bogotá. Reconoce sesgo de no denuncias y acceso desigual, pero extrapola igual.",claude_haiku
44,0,0,0,No evaluable,Artículo de análisis contextual y revisión de literatura sobre turismo post-conflicto. Incluye datos descriptivos e ilustrativos pero sin inferencia estadística formal ni pregunta de generalización de,claude_haiku
45,1,1,1,FF con reconocimiento,"Muestreo por conveniencia (44 de 67 estudiantes, una institución chilena). Reconoce ser action research sin generalización pretendida, pero concluye que 'la instrucción de estrategias de lectura mejor",claude_haiku
46,0,0,0,No evaluable,"Estudio de implementación/intervención didáctica localizada en 1 aula (N=19), no estudio de muestreo inferencial. Preguntas de investigación sobre efectividad de método IBL, no sobre representatividad",claude_haiku
47,1,0,1,FF clasica,"Muestreo de conveniencia de un único centro escolar + pruebas estadísticas (U Mann-Whitney, χ²) + conclusiones generalizadas sin reconocer limitación muestral.",claude_haiku
48,1,0,1,FF clasica,"Muestreo no probabilístico (grupos intactos) de 157 estudiantes. Usa inferencia estadística (t de Student, correlación Pearson, regresión lineal). Extrapola a 'estudiantes universitarios' sin adverten",claude_haiku
